text,user,created_at,timestamp,geo
How Deulofeu doesnt get into the Everton side baffles me. Really rate him.,Wisey_98_,2015-09-19 13:55:04,1442670904356,
I'd love to be in this! Maybe we need a 'Scribble' here in Swansea. @LianneHarrison @artisticalkara et al. https://t.co/hxmFvQGzyr,elissavevans,2015-09-19 13:55:05,1442670905586,
Alineación de Swansea City (4-4-2). El ecuatoriano Jefferson Montero será titular. #BPL http://t.co/E3wfjTtdk5,bl3palos,2015-09-19 13:55:05,1442670905757,
"#Swansea vs #Everton en #vivo online – #PremierLeague 2015 - En Directo
 http://t.co/hcB5WZATJP",Conrado_2010,2015-09-19 13:55:06,1442670906209,
Swansea - Everton should be a cracker,Sourtoolz,2015-09-19 13:55:06,1442670906358,
@MAFIACINTA_ down dgn 9 pemain aja cuma kebobolan 2 hahahahaha... Mereka 11-11 lawan everton kena getok 3-1 😜😜😜,absolutia,2015-09-19 13:55:06,1442670906905,
Since Community Shield &amp; that Everton defeat broff.  https://t.co/RN1fHGc3MG,GlennMena,2015-09-19 13:55:06,1442670906910,
"BET 3:

⚽️ Cardiff and draw double chance
⚽️ Swansea v Everton over 1.5 goals 

£35.45 on to return £66.57!",MattHoltTips,2015-09-19 13:55:07,1442670907048,
"More morning #BPL for you!

Stream Swansea vs. Everton on @NBCSN LIVE &gt;&gt; http://t.co/xIj0ACwmJX http://t.co/M8KoK5Lm65",XFINITYSports,2015-09-19 13:55:06,1442670906770,
link funcionando pro jogo https://t.co/rr9fbyyPMC,Rondiabc,2015-09-19 13:55:10,1442670910913,
LIVE: Swansea City - Everton http://t.co/OEXoMvtxQk,L_kaybee,2015-09-19 13:55:11,1442670911614,
@FalandodeEPL Queria muito ver esse confronto de Swansea x Everton. Tudo pra ser um otimo jogo,SallesGermano,2015-09-19 13:55:13,1442670913517,
"@Everton sitting in a bar in Riga, Latvia make this weekend even better blues #EFC #COYB",AlexGregory92,2015-09-19 13:55:13,1442670913827,
@TonyToon23 @SwansOfficial @Everton @nicolastourriol @premierleague @canalplus Canal + Décalé,MOZDof,2015-09-19 13:55:14,1442670914040,
"16:00 England Premier League: Swansea City - Everton Fc
http://t.co/BKkqMixQfK
http://t.co/le0iRaxVXv",Tlvisionline,2015-09-19 13:55:14,1442670914310,
"Swansea City Vs Everton

Live Stream : http://t.co/BKMFQCHITX

Ftblsk4 #GlobalSwans #SWAEVE #Epl #Swans #EFC #COYB #SWAvEFC",Canankara121,2015-09-19 13:55:16,1442670916844,
"Geen Swansea-Everton, omdat Bournemouth-Sunderland zo'n dikke pot is en Advocaat het zo goed doet?! Alsjeblieft, zeg! @FOXSportsnl",nagjvandongen,2015-09-19 13:55:18,1442670918191,
Back at my home venue. At @MisterDennehy w/ @nyc_evertonians for Everton @ Swansea. #COYB,Senator48,2015-09-19 13:55:21,1442670921677,
@RunWithComics @TheHulksBigToe @GradeAComics I've gone Swansea in my bet but it could go either way. Both in good form really.,MritalkApple123,2015-09-19 13:55:23,1442670923377,
Swansea vs Everton next 🔥🔥⚽️,nurycao,2015-09-19 13:55:23,1442670923902,
